1,土地
2,建物
3,建物附属設備
4,構築物
5,船舶
6,航空機
7,車両及び運搬具
8,工具
9,器具及び備品
10,機械及び装置
11,漁業権
12,ダム使用権
13,水利権
14,特許権
15,実用新案権
16,意匠権
17,商標権
18,ソフトウェア
19,育成者権
20,種苗法(平成10法律第83号)第４条第２項に規定する品種
21,営業権
22,専用側線利用権
23,鉄道軌道連絡通行施設利用権
24,電気ガス供給施設利用権
25,熱供給施設利用権
26,水道施設利用権
27,工業用水道施設利用権
28,電気通信施設利用権
